row.names,geneid,genesymbol
621,ENSG00000226664.1,RP4-745E8.2
622,ENSG00000236963.1,RP4-749H3.1
623,ENSG00000226487.1,RP4-749H3.2
624,ENSG00000162545.5,CAMK2N1
625,ENSG00000090432.5,MUL1
626,ENSG00000215520.3,RPS4XP4
627,ENSG00000183114.6,FAM43B
628,ENSG00000158825.5,CDA
629,ENSG00000158828.5,PINK1
630,ENSG00000257033.1,AL391357.1
631,ENSG00000244038.5,DDOST
632,ENSG00000117245.8,KIF17
633,ENSG00000235432.1,RP5-930J4.5
634,ENSG00000189410.7,SH2D5
635,ENSG00000233069.1,RP5-930J4.2
636,ENSG00000127483.13,HP1BP3
637,ENSG00000075151.15,EIF4G3
638,ENSG00000251914.1,RNU7-200P
639,ENSG00000221808.1,MIR1256
640,ENSG00000233072.1,RPS15AP6
641,ENSG00000236073.2,RP11-487E1.2
642,ENSG00000235112.1,RP11-628K18.1
643,ENSG00000266867.1,AL031005.1
644,ENSG00000117298.10,ECE1
645,ENSG00000236936.1,RP3-329E20.2
646,ENSG00000231105.1,RP5-1071N3.1
647,ENSG00000236216.4,PPP1R11P1
648,ENSG00000228823.1,RP11-293F5.8
649,ENSG00000236009.1,RP11-293F5.1
650,ENSG00000227001.2,NBPF2P
651,ENSG00000187952.8,HS6ST1P1
652,ENSG00000186543.7,CROCCP5
653,ENSG00000142794.14,NBPF3
654,ENSG00000176378.8,PFN1P10
655,ENSG00000162551.9,ALPL
656,ENSG00000233431.1,RP11-63N8.3
657,ENSG00000221781.1,AL359815.1
658,ENSG00000076864.15,RAP1GAP
659,ENSG00000090686.11,USP48
660,ENSG00000231978.2,RP11-132G19.3
661,ENSG00000187942.7,LDLRAD2
662,ENSG00000142798.12,HSPG2
663,ENSG00000232037.2,RP11-26H16.1
664,ENSG00000219073.3,CELA3B
665,ENSG00000264385.1,RN7SL421P
666,ENSG00000263991.1,RN7SL386P
667,ENSG00000201919.1,RNU6-1022P
668,ENSG00000142789.15,CELA3A
669,ENSG00000263582.1,RN7SL768P
